in:X Size,in:Y Size,in:U Divisions,in:V Divisions,out:displacement,out:Mass,img,threeD
11,7,4,3,0.728831,3651.488558,XSize11_YSize7_UDivisions4_VDivisions3_Perspective.png,XSize11_YSize7_UDivisions4_VDivisions3.json
12,7,4,3,0.892042,3822.162614,XSize12_YSize7_UDivisions4_VDivisions3_Perspective.png,XSize12_YSize7_UDivisions4_VDivisions3.json
6,8,4,3,0.322908,3077.004513,XSize6_YSize8_UDivisions4_VDivisions3_Perspective.png,XSize6_YSize8_UDivisions4_VDivisions3.json
7,8,4,3,0.381333,3223.432694,XSize7_YSize8_UDivisions4_VDivisions3_Perspective.png,XSize7_YSize8_UDivisions4_VDivisions3.json
8,8,4,3,0.455556,3375.012859,XSize8_YSize8_UDivisions4_VDivisions3_Perspective.png,XSize8_YSize8_UDivisions4_VDivisions3.json
9,8,4,3,0.547964,3531.274228,XSize9_YSize8_UDivisions4_VDivisions3_Perspective.png,XSize9_YSize8_UDivisions4_VDivisions3.json
10,8,4,3,0.660881,3691.764067,XSize10_YSize8_UDivisions4_VDivisions3_Perspective.png,XSize10_YSize8_UDivisions4_VDivisions3.json
11,8,4,3,0.796598,3856.056705,XSize11_YSize8_UDivisions4_VDivisions3_Perspective.png,XSize11_YSize8_UDivisions4_VDivisions3.json
12,8,4,3,0.957388,4023.758814,XSize12_YSize8_UDivisions4_VDivisions3_Perspective.png,XSize12_YSize8_UDivisions4_VDivisions3.json
6,9,4,3,0.397881,3302.350242,XSize6_YSize9_UDivisions4_VDivisions3_Perspective.png,XSize6_YSize9_UDivisions4_VDivisions3.json
7,9,4,3,0.458114,3446.07869,XSize7_YSize9_UDivisions4_VDivisions3_Perspective.png,XSize7_YSize9_UDivisions4_VDivisions3.json
8,9,4,3,0.534062,3594.802922,XSize8_YSize9_UDivisions4_VDivisions3_Perspective.png,XSize8_YSize9_UDivisions4_VDivisions3.json
9,9,4,3,0.628154,3748.116385,XSize9_YSize9_UDivisions4_VDivisions3_Perspective.png,XSize9_YSize9_UDivisions4_VDivisions3.json
10,9,4,3,0.742735,3905.620938,XSize10_YSize9_UDivisions4_VDivisions3_Perspective.png,XSize10_YSize9_UDivisions4_VDivisions3.json
11,9,4,3,0.88011,4066.935418,XSize11_YSize9_UDivisions4_VDivisions3_Perspective.png,XSize11_YSize9_UDivisions4_VDivisions3.json
12,9,4,3,1.042567,4231.701383,XSize12_YSize9_UDivisions4_VDivisions3_Perspective.png,XSize12_YSize9_UDivisions4_VDivisions3.json
